Sr,CaseType,CaseNo,CaseYear,CaseLabel,BillingStatus,AllotmentDate,NumAppearances
384,WP,3213,2015,WP/3213/2015,ONGOING,26-09-2024,1
385,WP,13077,2024,WP/13077/2024,ONGOING,27-09-2024,3
386,WP,13128,2024,WP/13128/2024,ONGOING,27-09-2024,2
387,WP,13152,2024,WP/13152/2024,DISPOSED,27-09-2024,1
388,WP,962,2016,WP/962/2016,ONGOING,30-09-2024,9
389,CP,236,2022,CP/236/2022,ONGOING,30-09-2024,1
390,WP,7388,2003,WP/7388/2003,ONGOING,30-09-2024,1
391,WP,10830,2011,WP/10830/2011,ONGOING,30-09-2024,6
392,IA,17077,2024,IA/17077/2024,DISPOSED,01-10-2024,1
393,WP,1302,2024,WP/1302/2024,ONGOING,01-10-2024,1
394,WP,10040,2017,WP/10040/2017,ONGOING,01-10-2024,2
395,WP,542,2011,WP/542/2011,ONGOING,03-10-2024,2
396,WP,5427,2015,WP/5427/2015,ONGOING,03-10-2024,1
397,WP,7434,2024,WP/7434/2024,ONGOING,03-10-2024,1
398,WP,10197,2022,WP/10197/2022,ONGOING,03-10-2024,1
399,WP,7721,2024,WP/7721/2024,ONGOING,04-10-2024,2
400,CP,218,2024,CP/218/2024,ONGOING,07-10-2024,1
401,WP,1338,2009,WP/1338/2009,ONGOING,07-10-2024,6
402,WP,4050,2024,WP/4050/2024,ONGOING,07-10-2024,1
403,WP,11077,2024,WP/11077/2024,ONGOING,07-10-2024,1
404,WP,13097,2024,WP/13097/2024,ONGOING,07-10-2024,1
405,WP,11500,2019,WP/11500/2019,ONGOING,09-10-2024,1
406,WP,13925,2024,WP/13925/2024,DISPOSED,09-10-2024,1
407,WP,3519,2023,WP/3519/2023,ONGOING,10-10-2024,1
408,WP,13110,2024,WP/13110/2024,ONGOING,10-10-2024,4
409,WP,13781,2024,WP/13781/2024,ONGOING,11-10-2024,2
410,WP,9790,2022,WP/9790/2022,ONGOING,14-10-2024,1
411,WP,12151,2024,WP/12151/2024,DISPOSED,14-10-2024,6
412,WP,14063,2024,WP/14063/2024,ONGOING,14-10-2024,3
413,WP,14067,2024,WP/14067/2024,DISPOSED,14-10-2024,1
414,WP,3761,2024,WP/3761/2024,ONGOING,15-10-2024,1
415,WP,12661,2024,WP/12661/2024,DISPOSED,15-10-2024,2
416,WP,14102,2024,WP/14102/2024,ONGOING,15-10-2024,4
417,WP,14103,2024,WP/14103/2024,ONGOING,15-10-2024,4
418,WP,14178,2024,WP/14178/2024,ONGOING,15-10-2024,7
419,WP,14197,2024,WP/14197/2024,DISPOSED,15-10-2024,2
420,WP,14215,2024,WP/14215/2024,ONGOING,15-10-2024,3
421,WP,14218,2024,WP/14218/2024,DISPOSED,15-10-2024,5
422,IA,13955,2024,IA/13955/2024,ONGOING,16-10-2024,2
423,WP,4788,2022,WP/4788/2022,ONGOING,16-10-2024,5
424,WP,14159,2024,WP/14159/2024,ONGOING,16-10-2024,4
425,WP,11725,2017,WP/11725/2017,ONGOING,17-10-2024,1
426,IA,14071,2024,IA/14071/2024,DISPOSED,18-10-2024,1
427,WP,8980,2023,WP/8980/2023,ONGOING,18-10-2024,1
428,WP,14730,2023,WP/14730/2023,ONGOING,18-10-2024,2
429,WP,9496,2024,WP/9496/2024,DISPOSED,21-10-2024,2
430,WP,14603,2024,WP/14603/2024,DISPOSED,21-10-2024,1
431,WP,14670,2024,WP/14670/2024,ONGOING,21-10-2024,4
432,WP(ST),14494,2022,WP(ST)/14494/2022,ONGOING,21-10-2024,1
433,WP,13841,2024,WP/13841/2024,DISPOSED,22-10-2024,4
434,WP,13842,2024,WP/13842/2024,DISPOSED,22-10-2024,2
435,WP,14709,2024,WP/14709/2024,ONGOING,23-10-2024,1
436,WP,14956,2024,WP/14956/2024,DISPOSED,23-10-2024,1
437,WP,14535,2024,WP/14535/2024,ONGOING,24-10-2024,5
438,WP,10270,2024,WP/10270/2024,DISPOSED,11-11-2024,1
439,WP,15466,2024,WP/15466/2024,ONGOING,11-11-2024,3
440,WP,16161,2024,WP/16161/2024,DISPOSED,11-11-2024,2
441,WP,2693,2024,WP/2693/2024,DISPOSED,12-11-2024,5
442,WP,11374,2022,WP/11374/2022,ONGOING,12-11-2024,1
443,WP,12416,2022,WP/12416/2022,ONGOING,12-11-2024,1
444,WP,14074,2024,WP/14074/2024,ONGOING,12-11-2024,1
445,WP,16216,2024,WP/16216/2024,ONGOING,12-11-2024,2
446,WP,3356,2021,WP/3356/2021,ONGOING,13-11-2024,3
447,WP,4184,2017,WP/4184/2017,ONGOING,13-11-2024,2
448,WP,4835,2024,WP/4835/2024,ONGOING,13-11-2024,1
449,WP,11168,2016,WP/11168/2016,DISPOSED,13-11-2024,1
450,WP,16245,2024,WP/16245/2024,ONGOING,13-11-2024,3
451,WP,1341,2024,WP/1341/2024,DISPOSED,18-11-2024,1
452,WP,8692,2021,WP/8692/2021,ONGOING,18-11-2024,1
453,WP,11205,2019,WP/11205/2019,ONGOING,18-11-2024,2
454,CP,614,2024,CP/614/2024,DISPOSED,19-11-2024,4
455,WP,7665,2024,WP/7665/2024,ONGOING,19-11-2024,2
456,WP,9457,2023,WP/9457/2023,DISPOSED,19-11-2024,1
457,WP,3940,1991,WP/3940/1991,ONGOING,21-11-2024,8
458,WP,10579,2024,WP/10579/2024,ONGOING,21-11-2024,1
459,WP,12508,2024,WP/12508/2024,ONGOING,21-11-2024,1
460,WP,14168,2024,WP/14168/2024,ONGOING,21-11-2024,1
461,WP,16092,2024,WP/16092/2024,ONGOING,21-11-2024,2
462,WP,4855,2006,WP/4855/2006,ONGOING,22-11-2024,1
463,WP,13737,2024,WP/13737/2024,DISPOSED,22-11-2024,2
464,WP,16772,2024,WP/16772/2024,ONGOING,22-11-2024,1
465,WP,8169,2024,WP/8169/2024,ONGOING,25-11-2024,1
466,WP,8975,2024,WP/8975/2024,ONGOING,25-11-2024,1
467,WP,14597,2024,WP/14597/2024,DISPOSED,25-11-2024,1
468,WP,15786,2024,WP/15786/2024,ONGOING,25-11-2024,1
469,WP,17019,2024,WP/17019/2024,ONGOING,25-11-2024,2
470,WP,17029,2024,WP/17029/2024,ONGOING,25-11-2024,2
471,WP,10865,2024,WP/10865/2024,ONGOING,26-11-2024,11
472,WP,15895,2024,WP/15895/2024,ONGOING,26-11-2024,3
473,WP,17008,2024,WP/17008/2024,ONGOING,26-11-2024,1
474,WP,8251,2021,WP/8251/2021,ONGOING,27-11-2024,1
475,WP,16801,2024,WP/16801/2024,DISPOSED,27-11-2024,2
476,WP(ST),30392,2024,WP(ST)/30392/2024,ONGOING,27-11-2024,2
477,WP,775,2024,WP/775/2024,ONGOING,28-11-2024,2
478,CP,624,2024,CP/624/2024,DISPOSED,29-11-2024,4
479,WP,11490,2024,WP/11490/2024,ONGOING,29-11-2024,1
480,WP,12955,2024,WP/12955/2024,ONGOING,29-11-2024,1
481,WP,794,2024,WP/794/2024,ONGOING,02-12-2024,1
482,WP,4475,2024,WP/4475/2024,ONGOING,02-12-2024,1
483,WP,17347,2024,WP/17347/2024,DISPOSED,02-12-2024,1
484,WP,17397,2024,WP/17397/2024,ONGOING,02-12-2024,1
485,CP,455,2018,CP/455/2018,ONGOING,03-12-2024,1
486,WP,7459,2024,WP/7459/2024,ONGOING,03-12-2024,2
487,WP,606,2021,WP/606/2021,ONGOING,04-12-2024,1
488,WP,12790,2022,WP/12790/2022,ONGOING,04-12-2024,2
489,WP,16679,2023,WP/16679/2023,DISPOSED,04-12-2024,1
490,WP,17430,2024,WP/17430/2024,ONGOING,04-12-2024,1
491,WP,14446,2024,WP/14446/2024,ONGOING,05-12-2024,2
492,WP,17441,2024,WP/17441/2024,DISPOSED,05-12-2024,1
493,WP,17442,2024,WP/17442/2024,ONGOING,05-12-2024,3
494,IA,7238,2024,IA/7238/2024,ONGOING,06-12-2024,1
495,IA,10794,2024,IA/10794/2024,ONGOING,06-12-2024,1
496,IA,14622,2024,IA/14622/2024,DISPOSED,06-12-2024,1
497,IA,14698,2024,IA/14698/2024,DISPOSED,06-12-2024,3
498,IA(ST),10579,2024,IA(ST)/10579/2024,ONGOING,06-12-2024,2
499,WP,16088,2024,WP/16088/2024,DISPOSED,06-12-2024,1
500,WP,6899,2022,WP/6899/2022,DISPOSED,09-12-2024,1
501,WP,13037,2022,WP/13037/2022,ONGOING,09-12-2024,1
502,WP,13615,2018,WP/13615/2018,ONGOING,09-12-2024,2
503,WP,15126,2022,WP/15126/2022,ONGOING,09-12-2024,1
504,WP,1860,2005,WP/1860/2005,ONGOING,10-12-2024,1
505,WP,4397,2024,WP/4397/2024,ONGOING,10-12-2024,1
506,WP,5896,2023,WP/5896/2023,ONGOING,10-12-2024,1
507,WP,8035,2024,WP/8035/2024,ONGOING,10-12-2024,1
508,WP,9333,2024,WP/9333/2024,ONGOING,10-12-2024,2
509,WP,17943,2024,WP/17943/2024,DISPOSED,10-12-2024,6
510,IA,16462,2023,IA/16462/2023,ONGOING,11-12-2024,1
511,WP,7160,2015,WP/7160/2015,DISPOSED,11-12-2024,6
512,WP,9251,2016,WP/9251/2016,ONGOING,11-12-2024,1
513,WP,16220,2024,WP/16220/2024,ONGOING,11-12-2024,1
514,WP,16223,2024,WP/16223/2024,ONGOING,11-12-2024,1
515,CP,674,2024,CP/674/2024,ONGOING,12-12-2024,1
516,WP,1468,2023,WP/1468/2023,ONGOING,12-12-2024,1
517,WP,15161,2022,WP/15161/2022,ONGOING,12-12-2024,1
518,WP,16775,2023,WP/16775/2023,ONGOING,12-12-2024,4
519,IA,14456,2024,IA/14456/2024,ONGOING,13-12-2024,1
520,IA,15559,2024,IA/15559/2024,ONGOING,13-12-2024,1
521,WP,795,2024,WP/795/2024,DISPOSED,13-12-2024,1
522,IA,11510,2024,IA/11510/2024,ONGOING,14-12-2024,1
523,WP,1722,2023,WP/1722/2023,ONGOING,14-12-2024,1
524,WP,8419,2024,WP/8419/2024,DISPOSED,14-12-2024,1
525,WP,4057,2018,WP/4057/2018,DISPOSED,16-12-2024,1
526,WP,11022,2024,WP/11022/2024,ONGOING,16-12-2024,1
527,WP,2355,2023,WP/2355/2023,ONGOING,17-12-2024,1
528,WP,3375,2018,WP/3375/2018,ONGOING,17-12-2024,1
529,WP,10849,2023,WP/10849/2023,ONGOING,17-12-2024,1
530,WP,11350,2022,WP/11350/2022,ONGOING,17-12-2024,1
531,WP,13277,2024,WP/13277/2024,DISPOSED,17-12-2024,1
532,WP,16156,2024,WP/16156/2024,ONGOING,17-12-2024,1
533,WP,18203,2024,WP/18203/2024,ONGOING,17-12-2024,2
534,WP,18833,2024,WP/18833/2024,DISPOSED,17-12-2024,1
535,IA,12546,2024,IA/12546/2024,ONGOING,19-12-2024,1
536,IA,15383,2024,IA/15383/2024,ONGOING,19-12-2024,1
537,WP,1836,2024,WP/1836/2024,ONGOING,19-12-2024,1
538,WP,11347,2024,WP/11347/2024,DISPOSED,19-12-2024,1
539,WP,11348,2024,WP/11348/2024,DISPOSED,19-12-2024,1
540,WP,16124,2024,WP/16124/2024,DISPOSED,19-12-2024,1
541,IA,14163,2024,IA/14163/2024,ONGOING,20-12-2024,1
542,IA,14689,2024,IA/14689/2024,ONGOING,20-12-2024,1
543,IA,14697,2024,IA/14697/2024,DISPOSED,20-12-2024,1
544,WP,11144,2016,WP/11144/2016,ONGOING,02-01-2025,1
545,WP,12088,2022,WP/12088/2022,ONGOING,02-01-2025,4
546,WP,2045,2023,WP/2045/2023,ONGOING,02-01-2025,2
547,WP,2627,2023,WP/2627/2023,ONGOING,02-01-2025,3
548,WP,1566,2024,WP/1566/2024,ONGOING,03-01-2025,1
549,WP,19392,2024,WP/19392/2024,ONGOING,03-01-2025,3
550,WP,40,2025,WP/40/2025,DISPOSED,03-01-2025,3
551,WP,1711,2013,WP/1711/2013,ONGOING,06-01-2025,12
552,WP,5180,2019,WP/5180/2019,ONGOING,06-01-2025,1
553,WP,3202,2022,WP/3202/2022,ONGOING,06-01-2025,1
554,WP,5783,2022,WP/5783/2022,ONGOING,06-01-2025,8
555,WP,8364,2022,WP/8364/2022,ONGOING,06-01-2025,4
556,WP,11806,2022,WP/11806/2022,ONGOING,06-01-2025,3
557,WP,15594,2022,WP/15594/2022,ONGOING,06-01-2025,1
558,WP,9718,2023,WP/9718/2023,ONGOING,06-01-2025,6
559,WP,6631,2023,WP/6631/2023,ONGOING,07-01-2025,4
560,WP,13044,2023,WP/13044/2023,ONGOING,07-01-2025,2
561,WP,6327,2024,WP/6327/2024,DISPOSED,07-01-2025,3
562,WP,1172,2018,WP/1172/2018,DISPOSED,08-01-2025,11
563,WP,3204,2022,WP/3204/2022,ONGOING,08-01-2025,2
564,WP,14240,2022,WP/14240/2022,ONGOING,08-01-2025,2
565,WP,15793,2022,WP/15793/2022,ONGOING,08-01-2025,1
566,CP,53,2024,CP/53/2024,ONGOING,09-01-2025,1
567,IA,4499,2023,IA/4499/2023,ONGOING,10-01-2025,4
568,IA,15089,2023,IA/15089/2023,DISPOSED,10-01-2025,4
569,IA,15713,2023,IA/15713/2023,ONGOING,10-01-2025,2
570,IA,140,2025,IA/140/2025,DISPOSED,10-01-2025,1
571,WP,12318,2023,WP/12318/2023,ONGOING,10-01-2025,1
572,WP,10546,2023,WP/10546/2023,ONGOING,13-01-2025,2
573,WP,1779,2024,WP/1779/2024,ONGOING,13-01-2025,1
574,WP,365,2025,WP/365/2025,DISPOSED,13-01-2025,1
575,WP,11706,2018,WP/11706/2018,ONGOING,14-01-2025,1
576,WP,1513,2021,WP/1513/2021,ONGOING,14-01-2025,1
577,WP,8039,2018,WP/8039/2018,ONGOING,15-01-2025,1
578,WP,2580,2020,WP/2580/2020,ONGOING,15-01-2025,3
579,WP,14071,2024,WP/14071/2024,ONGOING,15-01-2025,1
580,IA,15522,2024,IA/15522/2024,ONGOING,16-01-2025,2
581,WP,11882,2018,WP/11882/2018,DISPOSED,16-01-2025,4
582,IA,1572,2024,IA/1572/2024,ONGOING,17-01-2025,1
583,WP,1527,2024,WP/1527/2024,ONGOING,17-01-2025,1
584,IA,12663,2024,IA/12663/2024,ONGOING,20-01-2025,1
585,WP,2192,2024,WP/2192/2024,ONGOING,21-01-2025,2
586,WP,4463,2021,WP/4463/2021,DISPOSED,22-01-2025,1
587,WP,12331,2022,WP/12331/2022,ONGOING,22-01-2025,2
588,WP,692,2024,WP/692/2024,ONGOING,23-01-2025,1
589,WP,635,2025,WP/635/2025,ONGOING,23-01-2025,1
590,WP,2171,2019,WP/2171/2019,ONGOING,24-01-2025,3
591,WP,6430,2024,WP/6430/2024,DISPOSED,24-01-2025,1
592,WP,15326,2024,WP/15326/2024,ONGOING,24-01-2025,2
593,WP,8668,2023,WP/8668/2023,DISPOSED,27-01-2025,1
594,WP,1089,2025,WP/1089/2025,ONGOING,27-01-2025,3
595,IA,11566,2024,IA/11566/2024,DISPOSED,28-01-2025,1
596,WP,1007,2018,WP/1007/2018,ONGOING,28-01-2025,2
597,WP,6049,2022,WP/6049/2022,ONGOING,28-01-2025,1
598,WP,8782,2022,WP/8782/2022,DISPOSED,28-01-2025,1
599,WP,13876,2022,WP/13876/2022,ONGOING,28-01-2025,1
600,WP,14776,2022,WP/14776/2022,ONGOING,28-01-2025,1
601,CP(ST),10478,2023,CP(ST)/10478/2023,DISPOSED,29-01-2025,1
602,IA,13799,2024,IA/13799/2024,ONGOING,29-01-2025,1
603,WP,18280,2024,WP/18280/2024,DISPOSED,29-01-2025,1
604,IA,2011,2023,IA/2011/2023,ONGOING,30-01-2025,1
605,WP,6196,2022,WP/6196/2022,ONGOING,30-01-2025,1
606,WP,15348,2022,WP/15348/2022,ONGOING,30-01-2025,1
607,WP,3121,2023,WP/3121/2023,ONGOING,30-01-2025,1
608,WP,11892,2023,WP/11892/2023,ONGOING,30-01-2025,1
609,WP,340,2024,WP/340/2024,ONGOING,30-01-2025,5
610,WP,1028,2025,WP/1028/2025,ONGOING,30-01-2025,2
611,IA,19777,2022,IA/19777/2022,DISPOSED,31-01-2025,1
612,IA,12081,2024,IA/12081/2024,ONGOING,31-01-2025,1
613,WP,14327,2018,WP/14327/2018,DISPOSED,31-01-2025,3
614,WP,3587,2024,WP/3587/2024,DISPOSED,31-01-2025,1
615,CP,74,2020,CP/74/2020,ONGOING,03-02-2025,4
616,WP,10601,2014,WP/10601/2014,ONGOING,03-02-2025,1
617,WP,4641,2016,WP/4641/2016,DISPOSED,03-02-2025,1
618,WP,10916,2022,WP/10916/2022,ONGOING,03-02-2025,1
619,WP,2877,2023,WP/2877/2023,ONGOING,03-02-2025,2
620,WP,7974,2024,WP/7974/2024,DISPOSED,03-02-2025,2
621,WP,14316,2024,WP/14316/2024,DISPOSED,03-02-2025,2
622,WP,11657,2018,WP/11657/2018,ONGOING,04-02-2025,1
623,WP,3308,2024,WP/3308/2024,DISPOSED,04-02-2025,1
624,WP,15324,2024,WP/15324/2024,DISPOSED,04-02-2025,1
625,WP,17638,2024,WP/17638/2024,ONGOING,04-02-2025,3
626,WP,1528,2025,WP/1528/2025,DISPOSED,04-02-2025,1
627,WP,11985,2024,WP/11985/2024,DISPOSED,05-02-2025,2
628,WP,14140,2024,WP/14140/2024,ONGOING,05-02-2025,3
629,WP,1625,2024,WP/1625/2024,ONGOING,06-02-2025,1
630,WP,3144,2024,WP/3144/2024,ONGOING,06-02-2025,3
631,WP,9561,2024,WP/9561/2024,ONGOING,06-02-2025,1
632,WP,8789,2022,WP/8789/2022,ONGOING,10-02-2025,1
633,WP,12090,2022,WP/12090/2022,ONGOING,10-02-2025,1
634,WP,14773,2022,WP/14773/2022,DISPOSED,10-02-2025,1
635,WP,17602,2024,WP/17602/2024,DISPOSED,10-02-2025,1
636,WP,345,2014,WP/345/2014,ONGOING,11-02-2025,1
637,WP,2352,2020,WP/2352/2020,ONGOING,11-02-2025,1
638,WP,833,2024,WP/833/2024,ONGOING,11-02-2025,2
639,WP,1869,2025,WP/1869/2025,DISPOSED,11-02-2025,1
640,WP,4033,2023,WP/4033/2023,ONGOING,12-02-2025,1
641,WP,15743,2023,WP/15743/2023,ONGOING,12-02-2025,1
642,WP,11476,2024,WP/11476/2024,ONGOING,12-02-2025,2
643,WP,3,2025,WP/3/2025,ONGOING,12-02-2025,1
644,WP,1712,2025,WP/1712/2025,ONGOING,12-02-2025,2
645,WP,1903,2025,WP/1903/2025,DISPOSED,12-02-2025,2
646,WP,1905,2025,WP/1905/2025,DISPOSED,12-02-2025,1
647,WP,1910,2025,WP/1910/2025,DISPOSED,12-02-2025,3
648,IA,1191,2025,IA/1191/2025,ONGOING,13-02-2025,1
649,WP,12144,2023,WP/12144/2023,ONGOING,13-02-2025,1
650,WP,12484,2024,WP/12484/2024,ONGOING,13-02-2025,1
651,WP,1694,2025,WP/1694/2025,ONGOING,13-02-2025,1
652,IA,15617,2024,IA/15617/2024,ONGOING,14-02-2025,1
653,WP,3052,2024,WP/3052/2024,ONGOING,14-02-2025,2
654,WP,10269,2024,WP/10269/2024,ONGOING,14-02-2025,1
655,WP,1347,2010,WP/1347/2010,DISPOSED,17-02-2025,4
656,WP,2158,2025,WP/2158/2025,ONGOING,20-02-2025,1
657,WP,7597,2022,WP/7597/2022,ONGOING,21-02-2025,4
658,WP,5134,2024,WP/5134/2024,ONGOING,21-02-2025,1
659,WP,14602,2023,WP/14602/2023,ONGOING,24-02-2025,1
660,WP,19060,2024,WP/19060/2024,DISPOSED,24-02-2025,1
661,WP,2343,2025,WP/2343/2025,ONGOING,24-02-2025,4
662,WP,2351,2025,WP/2351/2025,ONGOING,24-02-2025,6
663,CP,667,2024,CP/667/2024,DISPOSED,25-02-2025,1
664,WP,15694,2024,WP/15694/2024,DISPOSED,25-02-2025,1
665,WP,18791,2024,WP/18791/2024,DISPOSED,25-02-2025,1
666,WP,2635,2025,WP/2635/2025,DISPOSED,25-02-2025,3
667,WP,2678,2025,WP/2678/2025,ONGOING,25-02-2025,2
668,WP,2353,2025,WP/2353/2025,ONGOING,26-02-2025,3
669,WP,2582,2025,WP/2582/2025,DISPOSED,26-02-2025,2
670,IA(ST),34058,2024,IA(ST)/34058/2024,ONGOING,27-02-2025,1
671,WP,8502,2022,WP/8502/2022,DISPOSED,27-02-2025,1
672,WP,12800,2023,WP/12800/2023,ONGOING,27-02-2025,6
673,WP,14085,2024,WP/14085/2024,ONGOING,27-02-2025,2
674,IA,2020,2025,IA/2020/2025,ONGOING,28-02-2025,1
675,IA,2748,2025,IA/2748/2025,DISPOSED,28-02-2025,2
676,WP,7890,2023,WP/7890/2023,ONGOING,28-02-2025,1
677,WP,9265,2023,WP/9265/2023,ONGOING,28-02-2025,1
678,WP,2639,2024,WP/2639/2024,ONGOING,28-02-2025,2
679,WP,16561,2024,WP/16561/2024,ONGOING,28-02-2025,5
680,WP,1713,2025,WP/1713/2025,ONGOING,28-02-2025,1
681,CP,634,2024,CP/634/2024,ONGOING,03-03-2025,3
682,WP,3439,2023,WP/3439/2023,ONGOING,03-03-2025,2
683,WP,11477,2024,WP/11477/2024,ONGOING,03-03-2025,1
684,WP,16039,2024,WP/16039/2024,ONGOING,03-03-2025,2
685,WP,18312,2024,WP/18312/2024,ONGOING,03-03-2025,3
686,WP,13646,2022,WP/13646/2022,DISPOSED,04-03-2025,1
687,WP,12914,2024,WP/12914/2024,ONGOING,04-03-2025,2
688,WP,2960,2025,WP/2960/2025,ONGOING,04-03-2025,1
689,WP,2426,2022,WP/2426/2022,ONGOING,05-03-2025,5
690,WP,9707,2022,WP/9707/2022,ONGOING,05-03-2025,2
691,WP,12190,2024,WP/12190/2024,ONGOING,05-03-2025,1
692,WP,2837,2025,WP/2837/2025,ONGOING,05-03-2025,1
693,WP,2974,2025,WP/2974/2025,ONGOING,05-03-2025,1
694,WP,7600,2019,WP/7600/2019,ONGOING,06-03-2025,2
695,WP,2182,2025,WP/2182/2025,ONGOING,06-03-2025,1
696,WP,2799,2025,WP/2799/2025,DISPOSED,06-03-2025,2
697,IA,1696,2024,IA/1696/2024,ONGOING,07-03-2025,1
698,WP,909,2025,WP/909/2025,ONGOING,07-03-2025,3
699,WP,1144,2018,WP/1144/2018,ONGOING,10-03-2025,1
700,WP,1952,2023,WP/1952/2023,DISPOSED,10-03-2025,2
701,WP,12213,2023,WP/12213/2023,ONGOING,10-03-2025,2
702,WP,12982,2023,WP/12982/2023,ONGOING,10-03-2025,1
703,IA,17097,2022,IA/17097/2022,ONGOING,11-03-2025,1
704,WP,16789,2024,WP/16789/2024,ONGOING,11-03-2025,1
705,WP,17262,2024,WP/17262/2024,DISPOSED,11-03-2025,1
706,WP,18996,2024,WP/18996/2024,ONGOING,11-03-2025,2
707,WP,13406,2018,WP/13406/2018,ONGOING,12-03-2025,3
708,WP,19084,2024,WP/19084/2024,ONGOING,12-03-2025,1
709,CP,122,2025,CP/122/2025,ONGOING,13-03-2025,1
710,WP,12998,2023,WP/12998/2023,ONGOING,13-03-2025,1
711,WP,205,2025,WP/205/2025,ONGOING,13-03-2025,1
712,WP,2079,2024,WP/2079/2024,DISPOSED,17-03-2025,1
713,WP,8745,2022,WP/8745/2022,ONGOING,18-03-2025,7
714,WP,13206,2024,WP/13206/2024,DISPOSED,18-03-2025,1
715,WP,3458,2025,WP/3458/2025,ONGOING,18-03-2025,3
716,CP,181,2021,CP/181/2021,DISPOSED,19-03-2025,1
717,WP,6702,2024,WP/6702/2024,ONGOING,19-03-2025,1
718,WP,3685,2025,WP/3685/2025,DISPOSED,19-03-2025,1
719,IA,1208,2025,IA/1208/2025,DISPOSED,20-03-2025,1
720,WP,2978,2023,WP/2978/2023,ONGOING,20-03-2025,1
721,IA,14100,2024,IA/14100/2024,DISPOSED,21-03-2025,1
722,WP,3443,2023,WP/3443/2023,ONGOING,21-03-2025,1
723,WP,5617,2016,WP/5617/2016,ONGOING,24-03-2025,1
724,WP,6212,2021,WP/6212/2021,ONGOING,24-03-2025,1
725,WP,17400,2024,WP/17400/2024,ONGOING,24-03-2025,1
726,WP,4025,2025,WP/4025/2025,ONGOING,24-03-2025,1
727,CP,49,2025,CP/49/2025,ONGOING,25-03-2025,2
728,WP,15748,2024,WP/15748/2024,ONGOING,25-03-2025,1
729,WP,3780,2025,WP/3780/2025,ONGOING,25-03-2025,2
730,WP,3930,2025,WP/3930/2025,ONGOING,25-03-2025,1
731,WP,3261,2008,WP/3261/2008,ONGOING,26-03-2025,4
732,WP,7937,2023,WP/7937/2023,ONGOING,26-03-2025,2
733,WP,12404,2023,WP/12404/2023,ONGOING,26-03-2025,1
734,WP,19230,2024,WP/19230/2024,ONGOING,26-03-2025,2
735,WP,19343,2024,WP/19343/2024,ONGOING,26-03-2025,2
736,WP,19344,2024,WP/19344/2024,ONGOING,26-03-2025,2
737,WP,3693,2025,WP/3693/2025,DISPOSED,26-03-2025,1
738,WP,4232,2025,WP/4232/2025,DISPOSED,26-03-2025,1
739,WP,1968,2023,WP/1968/2023,ONGOING,27-03-2025,1
740,WP,439,2025,WP/439/2025,ONGOING,27-03-2025,4
741,WP,4263,2025,WP/4263/2025,DISPOSED,27-03-2025,1
742,IA,2014,2023,IA/2014/2023,ONGOING,28-03-2025,2
743,WP,16567,2024,WP/16567/2024,ONGOING,28-03-2025,1
744,WP,19106,2024,WP/19106/2024,ONGOING,28-03-2025,1
745,CP,328,2024,CP/328/2024,ONGOING,01-04-2025,2
746,WP,13617,2017,WP/13617/2017,ONGOING,01-04-2025,1
747,WP,14811,2023,WP/14811/2023,ONGOING,01-04-2025,2
748,WP,17578,2024,WP/17578/2024,ONGOING,01-04-2025,1
749,WP,4282,2025,WP/4282/2025,DISPOSED,01-04-2025,2
750,WP,9434,2021,WP/9434/2021,ONGOING,01-04-2025,1
751,CP,177,2025,CP/177/2025,DISPOSED,02-04-2025,2
752,WP,14144,2023,WP/14144/2023,ONGOING,02-04-2025,1
753,WP,3152,2021,WP/3152/2021,ONGOING,02-04-2025,1
754,WP,4035,2025,WP/4035/2025,ONGOING,02-04-2025,1
755,WP,4109,2025,WP/4109/2025,ONGOING,02-04-2025,1
756,WP,4286,2025,WP/4286/2025,DISPOSED,02-04-2025,4
757,WP,6386,2024,WP/6386/2024,ONGOING,02-04-2025,2
758,WP,83,2025,WP/83/2025,ONGOING,02-04-2025,3
759,WP,10470,2024,WP/10470/2024,ONGOING,03-04-2025,6
760,WP,10621,2023,WP/10621/2023,ONGOING,03-04-2025,2
761,WP,12174,2024,WP/12174/2024,ONGOING,03-04-2025,3
762,WP,13068,2023,WP/13068/2023,ONGOING,03-04-2025,1
763,WP,13270,2024,WP/13270/2024,ONGOING,03-04-2025,1
764,WP,16445,2023,WP/16445/2023,ONGOING,03-04-2025,1
765,WP,6986,2023,WP/6986/2023,ONGOING,03-04-2025,1
766,WP,7914,2024,WP/7914/2024,ONGOING,03-04-2025,2
767,IA,15324,2023,IA/15324/2023,ONGOING,04-04-2025,1
768,IA,1987,2025,IA/1987/2025,ONGOING,04-04-2025,2
769,WP,2399,2023,WP/2399/2023,ONGOING,04-04-2025,1
770,WP,4532,2025,WP/4532/2025,ONGOING,04-04-2025,5
771,WP,11739,2023,WP/11739/2023,ONGOING,07-04-2025,1
772,WP,15565,2022,WP/15565/2022,ONGOING,07-04-2025,1
773,WP,15603,2022,WP/15603/2022,ONGOING,07-04-2025,1
774,WP,1603,2025,WP/1603/2025,ONGOING,07-04-2025,1
775,WP,2681,2025,WP/2681/2025,DISPOSED,07-04-2025,2
776,WP,3676,2025,WP/3676/2025,DISPOSED,07-04-2025,2
777,WP,8395,2021,WP/8395/2021,ONGOING,07-04-2025,1
778,WP,882,2025,WP/882/2025,ONGOING,07-04-2025,1
779,WP,1489,2015,WP/1489/2015,ONGOING,08-04-2025,1
